,Date,Consumption,Wind,Solar,Wind+Solar
3946,2016-10-21,1479.348,123.03399999999999,28.97900000000001,152.013
3947,2016-10-22,1247.09,74.70800000000001,42.32400000000001,117.03200000000001
3948,2016-10-23,1154.9979999999996,72.829,60.492,133.32100000000003
3949,2016-10-24,1482.911,111.547,34.942,146.48899999999998
3950,2016-10-25,1499.188,42.55500000000001,24.53700000000001,67.09199999999998
3951,2016-10-26,1495.4409999999998,78.295,35.981,114.27599999999998
3952,2016-10-27,1495.821,225.143,46.391999999999996,271.5349999999999
3953,2016-10-28,1480.3160000000007,375.774,40.04200000000001,415.816
3954,2016-10-29,1243.5500000000004,273.698,49.989,323.687
3955,2016-10-30,1141.6240000000005,95.191,65.403,160.594
3956,2016-10-31,1331.536,57.291,62.06399999999999,119.355
3957,2016-11-01,1301.8729999999996,249.78400000000002,54.056,303.8400000000001
3958,2016-11-02,1519.388,426.11400000000003,39.838,465.952
3959,2016-11-03,1532.0500000000006,123.48899999999998,54.63,178.11900000000003
3960,2016-11-04,1509.5370000000007,256.74300000000005,46.151,302.894
3961,2016-11-05,1299.408,182.205,18.56,200.765
3962,2016-11-06,1204.9389999999999,201.67700000000002,23.128,224.80500000000004
3963,2016-11-07,1529.1629999999998,163.15,22.875,186.025
3964,2016-11-08,1571.629,114.08599999999998,27.041,141.12699999999995
3965,2016-11-09,1577.031,128.014,37.869,165.88299999999995
3966,2016-11-10,1577.6570000000006,131.25199999999998,19.282,150.534
3967,2016-11-11,1568.043,110.925,21.116,132.041
3968,2016-11-12,1343.0439999999999,118.34199999999998,33.756,152.09799999999996
3969,2016-11-13,1252.9719999999998,160.852,44.542,205.394
3970,2016-11-14,1564.09,268.23,67.96199999999999,336.19199999999995
3971,2016-11-15,1604.101,383.509,15.411999999999995,398.92100000000005
3972,2016-11-16,1574.0389999999993,389.67800000000005,11.126,400.80400000000014
3973,2016-11-17,1564.308,530.966,22.844,553.8100000000002
3974,2016-11-18,1544.5410000000006,630.4669999999999,26.26400000000001,656.7309999999999
3975,2016-11-19,1334.341,404.577,15.963,420.54
3976,2016-11-20,1233.9729999999995,653.8360000000001,46.87600000000001,700.7120000000001
3977,2016-11-21,1533.053,392.46900000000016,32.608000000000004,425.07700000000006
3978,2016-11-22,1552.9989999999998,242.999,26.529,269.528
3979,2016-11-23,1546.1540000000002,87.572,36.896,124.468
3980,2016-11-24,1565.5870000000002,236.318,29.136,265.45399999999995
3981,2016-11-25,1544.217,135.453,28.021,163.474
3982,2016-11-26,1336.7359999999996,152.083,12.380000000000004,164.463
3983,2016-11-27,1236.9530000000002,280.778,28.533,309.3110000000001
3984,2016-11-28,1573.7210000000007,202.377,62.71100000000001,265.0880000000001
3985,2016-11-29,1628.6170000000006,225.935,70.378,296.313
3986,2016-11-30,1638.3389999999995,492.35199999999986,43.081,535.433
3987,2016-12-01,1631.279,673.199,16.612999999999996,689.812
3988,2016-12-02,1585.4499999999994,305.2340000000001,33.942,339.1760000000001
3989,2016-12-03,1371.141,71.49000000000002,56.021,127.51099999999997
3990,2016-12-04,1299.91,94.521,48.038999999999994,142.56
3991,2016-12-05,1614.3829999999994,83.789,40.09200000000001,123.881
3992,2016-12-06,1650.0380000000002,81.145,30.851,111.996
3993,2016-12-07,1671.129,326.6740000000001,22.856,349.52999999999986
3994,2016-12-08,1632.362,488.88100000000014,39.197,528.0780000000002
3995,2016-12-09,1591.4199999999994,426.73199999999997,20.611,447.343
3996,2016-12-10,1345.308,392.208,40.237,432.445
3997,2016-12-11,1267.9969999999996,541.689,11.375,553.0640000000002
3998,2016-12-12,1569.869,162.47799999999995,15.058000000000002,177.53599999999997
3999,2016-12-13,1602.297,105.68300000000002,21.872,127.55500000000002
4000,2016-12-14,1595.2929999999994,61.78799999999998,16.450999999999997,78.23899999999998
4001,2016-12-15,1601.3970000000006,190.446,15.773,206.21900000000002
4002,2016-12-16,1567.4879999999994,129.076,28.826999999999998,157.9029999999999
4003,2016-12-17,1365.5790000000004,95.797,18.208,114.005
4004,2016-12-18,1266.4950000000003,123.34299999999999,8.439,131.78199999999998
4005,2016-12-19,1542.0179999999998,73.53399999999998,18.000999999999994,91.535
4006,2016-12-20,1572.4270000000001,165.17200000000003,26.455,191.627
4007,2016-12-21,1567.3990000000006,309.568,22.974,332.5420000000001
4008,2016-12-22,1512.6609999999994,257.197,20.109,277.30600000000004
4009,2016-12-23,1415.8109999999995,395.296,16.111,411.40700000000015
4010,2016-12-24,1195.354,681.5089999999999,12.843,694.3520000000003
4011,2016-12-25,1117.6729999999998,719.7779999999997,6.608,726.3860000000003
4012,2016-12-26,1121.213,718.1600000000003,15.463000000000005,733.623
4013,2016-12-27,1289.3239999999996,640.8950000000002,23.448,664.3430000000002
4014,2016-12-28,1294.881,214.98999999999995,19.45,234.44
